Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Cantril ladder score,Population (historical)
Italy,ITA,2022,44292.19,6.4045,59619106
Jamaica,JAM,2022,10107.865,5.7027,2839151
Japan,JPN,2022,41837.91,6.129,124997586
Jordan,JOR,2022,9490.667,4.1198,11256268
Kazakhstan,KAZ,2022,26093.295,6.1439,20034612
Kenya,KEN,2022,4881.5317,4.4866,54252456
Kosovo,OWID_KOS,2022,12675.068,6.3676,1717950
Kuwait,KWT,2021,45579.688,6.1061,4360749
Kyrgyzstan,KGZ,2022,5070.1504,5.8253,6955792
Laos,LAO,2022,7947.6587,5.1107,7559007
Latvia,LVA,2022,32992.383,6.2127,1881058
Lebanon,LBN,2021,12986.913,2.9553,5718127
Lesotho,LSO,2021,2239.3052,3.5118,2261549
Liberia,LBR,2022,1460.9233,4.0423,5373296
Libya,LBY,2021,20273.88,5.3302,7135180
Lithuania,LTU,2022,39955.246,6.763,2816922
Luxembourg,LUX,2022,117746.99,7.2279,653316
Madagascar,MDG,2022,1502.4822,4.0191,30437263
Malawi,MWI,2022,1466.8794,3.4952,20568731
Malaysia,MYS,2022,28383.62,6.0123,34695494
Maldives,MDV,2020,13809.354,5.1976,502127
Mali,MLI,2022,2132.6233,4.1978,23072639
Malta,MLT,2022,48641.85,6.2999,528194
Mauritania,MRT,2022,5330.2144,4.7239,4875645
Mauritius,MUS,2022,22841.35,5.9023,1276134
Mexico,MEX,2022,20254.781,6.3295,128613113
Moldova,MDA,2022,13308.417,5.8192,3039987
Mongolia,MNG,2022,12073.245,5.8402,3386015
Montenegro,MNE,2022,22108.73,5.7222,614650
Morocco,MAR,2022,8083.365,4.9028,37329069
Mozambique,MOZ,2022,1250.7725,4.954,32656240
Myanmar,MMR,2022,4249.876,4.3725,53756790
Namibia,NAM,2022,9762.777,4.6308,2889668
Nepal,NPL,2022,4001.7,5.3603,29715434
Netherlands,NLD,2022,59249.168,7.403,17904422
New Zealand,NZL,2022,45185.312,7.1229,5131733
Nicaragua,NIC,2022,5822.3535,6.2588,6730661
Niger,NER,2022,1274.6417,4.5013,25311977
Nigeria,NGA,2022,4963.16,4.9806,223150906
North Macedonia,MKD,2022,17128.76,5.2536,1840236
Norway,NOR,2022,67296.16,7.3155,5456795
Oman,OMN,2014,35032.258,6.853,4002445
Pakistan,PAK,2022,5376.967,4.5554,243700667
Palestine,PSE,2022,5722.409,4.9078,5305274
Panama,PAN,2022,33266.477,6.2645,4400772
Paraguay,PRY,2022,13531.396,5.7378,6760461
Peru,PER,2022,12743.942,5.5259,33475435
Philippines,PHL,2022,8581.9375,5.5229,113964342
Poland,POL,2022,37706.605,6.2597,38385734
Portugal,PRT,2022,35767.723,5.968,10417075
Puerto Rico,PRI,2015,34311.03,7.039,3521810
Qatar,QAT,2018,91461.62,6.3745,2761145
Romania,ROU,2022,32495.908,6.5891,19166776
Russia,RUS,2022,27450.45,5.6607,145579890
Rwanda,RWA,2021,2237.514,3.2682,13355260
Saudi Arabia,SAU,2022,50188.297,6.4626,32175352
Senegal,SEN,2022,3564.6282,4.8551,17651099
Serbia,SRB,2022,20885.889,6.1436,6791218
Sierra Leone,SLE,2022,1634.7638,3.1376,8276808
Singapore,SGP,2022,108036.11,6.5867,5649886
Slovakia,SVK,2022,33176.184,6.4686,5473194
Slovenia,SVN,2022,41015.227,6.6499,2115230
Somalia,SOM,2018,1547.9973,4.6679,15452489
South Africa,ZAF,2022,13478.754,5.2746,62378419
South Korea,KOR,2022,45560.125,5.9511,51782514
Spain,ESP,2022,40223.01,6.4362,47828386
Sri Lanka,LKA,2022,12200.138,4.4416,22834964
Sudan,SDN,2017,4613.95,4.1387,42714312
Suriname,SUR,2015,18768.572,6.269,581633
Sweden,SWE,2022,55359.344,7.3952,10487333
Switzerland,CHE,2022,72278.21,7.2401,8792180
Tajikistan,TJK,2022,4137.278,5.3298,10182229
Tanzania,TZA,2022,2623.8616,3.6938,64711821
Thailand,THA,2022,17507.621,5.843,71735320
Togo,TGO,2022,2202.7268,4.1374,9089742
Trinidad and Tobago,TTO,2019,25698.006,6.1919,1484898
Tunisia,TUN,2022,10569.051,4.4967,12119336
Turkey,TUR,2022,33149.5,4.6135,87058470
Turkmenistan,TKM,2021,14696.823,5.4743,7092041
Uganda,UGA,2022,2280.0737,4.4325,47312718
Ukraine,UKR,2022,10731.44,5.0714,41048767
United Arab Emirates,ARE,2022,74917.67,6.5712,10242085
United Kingdom,GBR,2022,47587.168,6.7956,68179315
United States,USA,2022,64623.125,6.8937,341534041
Uruguay,URY,2022,24426.66,6.4939,3390913
Uzbekistan,UZB,2022,8073.2104,6.0143,34938955
Vietnam,VNM,2022,11396.531,5.7633,99680656
World,OWID_WRL,2022,17527.19,5.2261734,8021407170
Zambia,ZMB,2022,3365.8738,3.9822,20152934
Zimbabwe,ZWE,2022,2207.957,3.2035,16069061
