,Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Cantril ladder score,Population (historical),Freedom Index
0,Afghanistan,AFG,2021,1516.2733,2.4038,40000411,
1,Albania,ALB,2022,15492.067,5.2773,2827615,
2,Algeria,DZA,2022,11198.233,5.3291,45477391,5.13
3,Angola,AGO,2017,7216.0615,3.7948,30234837,5.97
4,Argentina,ARG,2022,22461.441,6.0237,45407904,6.99
5,Armenia,ARM,2022,16057.007,5.3417,2880883,8.14
6,Australia,AUS,2022,51090.26,7.0946,26200987,8.51
7,Austria,AUT,2022,55867.184,7.0973,9064679,8.26
8,Azerbaijan,AZE,2021,14433.904,5.1734,10234373,5.7
9,Bahrain,BHR,2022,51854.715,6.1732,1533459,5.49
10,Bangladesh,BGD,2022,6263.0044,4.2821,169384890,5.51
11,Belarus,BLR,2021,19872.693,5.8215,9251367,5.78
12,Belgium,BEL,2022,53287.152,6.8591,11641813,8.27
13,Belize,BLZ,2017,8798.699,5.9556,373216,7.02
14,Benin,BEN,2022,3435.1716,4.3737,13759507,6.95
15,Bhutan,BTN,2018,11931.663,5.0821,759767,6.71
16,Bolivia,BOL,2022,8244.235,5.6843,12077155,6.6
17,Bosnia and Herzegovina,BIH,2022,16737.227,5.6325,3204805,7.35
18,Botswana,BWA,2022,15518.651,3.4353,2439895,7.44
19,Brazil,BRA,2022,15093.465,6.1246,210306411,6.86
